Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D9-1110,LOFT,Pendant,884.00,884.00
D,D9-1112,FINESTRA,Pendant,690.00,690.00
D,D9-1128,ONA,Pendant,916.00,732.00
D,D9-1129,ONA,Pendant,1014.00,810.00
D,D9-1137,MARC,Pendant 4 x 10W LED - 700mA,2452.00,1964.00
D,D9-1138,MARC,Pendant 2 x 10W LED - 700mA,1454.00,1164.00
D,D9-1139,MARC,Pendant 3 x 10W LED - 1050mA,1840.00,1472.00
D,D9-1140,BESSONS,Suspension - White - 17.8cm L. - max 160cm,1054.00,848.00
D,D9-2005,IXION,Flush Mount,850.00,850.00
D,D9-2007,IXION,Flush Mount,1046.00,1046.00
D,D9-2008,IXION,Flush Mount,1046.00,1046.00
D,D9-2041,DAMAS ,Flush Mount - Chrome,1280.00,1280.00
D,D9-2067,LINEA,Flush Mount,1432.00,1432.00
D,D9-2069,INOXX,Flush Mount ,1096.00,1096.00
D,D9-2071,INOXX,Flush Mount ,1356.00,1356.00
D,D9-2072,LINEA,Flush Mount Aluminum,880.00,702.00
D,D9-2073,LINEA,Flush Mount Aluminum,1046.00,834.00
D,D9-2110,BRIDGE ,Ceiling/Wall Mount 1 x 10W LED - 350mA,604.00,484.00
D,D9-2111,BRIDGE ,Ceiling Mount Mount 1 x 10W LED - 350mA,560.00,450.00
D,D9-2112,BRIDGE,Ceiling/Wall Mount 2 x 10W LED - 700mA,1114.00,892.00
D,D9-2113,BRIDGE,Ceiling/Wall Mount 2 x 10W LED - 700mA,1246.00,998.00
D,D9-2116,BRIDGE,Ceiling Mount - Eyeball 1 x 10W LED - 350mA,454.00,362.00
D,D9-2117,BRIDGE,Ceiling Mount 1 x 10W LED - 350mA,390.00,310.00
D,D9-2118,BRIDGE ,Ceiling Mount 1 x 10W LED - 350mA,598.00,480.00
D,D9-2119,BRIDGE ,Ceiling Mount 2 x 10W LED - 700mA,944.00,756.00
D,D9-2120,MARC,Ceiling Mount - Half Recessed 1 x 10W LED - 350mA,470.00,376.00
D,D9-2121,MARC,Ceiling Mount 1 x 10W LED - 350mA,706.00,566.00
