Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D5-4032NAT,LUZ OCULTA Wood,Floor Lamp - 1x40W Incand or 9W CFL - E26 - Natural Wood 22cm Bronze,1782.00,1424.00
D,D5-4032DGR,LUZ OCULTA Wood,Floor Lamp - 1x40W Incand or 9W CFL - E26 - Dark Grey Wood 22cm Bronze,1782.00,1424.00
D,D5-4033NAT,LUZ OCULTA Wood,Floor Lamp - 1x40W Incand or 9W CFL - E26 - Natural Wood 22cm Brass,1782.00,1424.00
D,D5-4033DGR,LUZ OCULTA Wood,Floor Lamp - 1x40W Incand or 9W CFL - E26 - Dark Grey Wood 22cm Brass,1782.00,1424.00
D,D5-4034NAT,LUZ OCULTA Wood,Floor Lamp - 1x30W - G9 - Natural Wood 16cm Bronze,1490.00,1190.00
D,D5-4034DGR,LUZ OCULTA Wood,Floor Lamp - 1x30W - G9 - Dark Grey Wood 16cm Bronze,1490.00,1190.00
D,D5-4035NAT,LUZ OCULTA Wood,Floor Lamp - 1x30W - G9 - Natural Wood 16cm Brass,1490.00,1190.00
D,D5-4035DGR,LUZ OCULTA Wood,Floor Lamp - 1x30W - G9 - Dark Grey Wood 16cm Brass,1490.00,1190.00
D,D5-4036NAT,LUZ OCULTA Wood,Table Lamp - 1x15W CFL - E26 - Natural Wood 37cm Bronze,1610.00,1286.00
D,D5-4036DGR,LUZ OCULTA Wood,Table Lamp - 1x15W CFL - E26 - Dark Grey Wood 37cm Bronze,1610.00,1286.00
D,D5-4037NAT,LUZ OCULTA Wood,Table Lamp - 1x15W CFL - E26 - Natural Wood 37cm Brass,1610.00,1286.00
D,D5-4037DGR,LUZ OCULTA Wood,Table Lamp - 1x15W CFL - E26 - Dark Grey Wood 37cm Brass,1610.00,1286.00
D,D5-4038NAT,LUZ OCULTA Wood,Table Lamp - 1x40W Incand or 9W CFL - E26 - Natural Wood 22cm Bronze,1060.00,848.00
D,D5-4038DGR,LUZ OCULTA Wood,Table Lamp - 1x40W Incand or 9W CFL - E26 - Dark Grey Wood 22cm Bronze,1060.00,848.00
D,D5-4039NAT,LUZ OCULTA Wood,Table Lamp - 1x40W Incand or 9W CFL - E26 -  Natural Wood 22cm Brass,1060.00,848.00
D,D5-4039DGR,LUZ OCULTA Wood,Table Lamp - 1x40W Incand or 9W CFL - E26 - Dark Grey Wood 22cm Brass,1060.00,848.00
D,D5-4040NAT,LUZ OCULTA Wood,Table Lamp - 1x30W - G9 - Natural Wood 16cm Bronze,816.00,654.00
D,D5-4040DGR,LUZ OCULTA Wood,Table Lamp - 1x30W - G9 - Dark Grey Wood 16cm Bronze,816.00,654.00
D,D5-4041NAT,LUZ OCULTA Wood,Table Lamp - 1x30W - G9 - Natural Wood 16cm Brass,816.00,654.00
D,D5-4041DGR,LUZ OCULTA Wood,Table Lamp - 1x30W - G9 - Dark Grey Wood 16cm Brass,816.00,654.00
D,D5-3033BRA,BOOK,Wall - 2x3W LED - G9 - Brass ,528.00,426.00
D,D5-3033PWT,BOOK,Wall - 2x3W LED - G9 - Pewter,528.00,426.00
D,D5-4042WHI,BOOK,Table Lamp - 2x3W LED - G9 - Brass - White Marble,922.00,742.00
D,D5-4042BLK,BOOK,Table Lamp - 2x3W LED - G9 - Brass - Black Marble,922.00,742.00
D,D5-4043WHI,BOOK,Table Lamp - 2x3W LED - G9 - Pewter - White Marble,922.00,742.00
D,D5-4043BLK,BOOK,Table Lamp - 2x3W LED - G9 - Pewter - Black Marble,922.00,742.00
D,D5-1045BRA,REFLECTIONS,Suspension XS - 1x17W LED - 120V -3000K - Brass+Fresno Wood,934.00,746.00
D,D5-1045PWT,REFLECTIONS,Suspension XS - 1x17W LED - 120V -3000K - Pewter+Fresno Wood,934.00,746.00
D,D5-1046BRA,REFLECTIONS,Suspension S - 1x17W LED - 120V -3000K - Brass+Fresno Wood,1170.00,934.00
D,D5-1046PWT,REFLECTIONS,Suspension S - 1x17W LED - 120V -3000K - Pewter+Fresno Wood,1170.00,934.00
D,D5-1047BRA,REFLECTIONS,Suspension M - 1x17W LED - 120V -3000K - Brass+Fresno Wood,1490.00,1190.00
D,D5-1047PWT,REFLECTIONS,Suspension M - 1x17W LED - 120V -3000K - Pewter+Fresno Wood,1490.00,1190.00
D,D5-1048BRA,REFLECTIONS,Suspension L - 1x17W LED - 120V -3000K -  Brass+Fresno Wood,1820.00,1456.00
D,D5-1048PWT,REFLECTIONS,Suspension L - 1x17W LED - 120V -3000K - Pewter+Fresno Wood,1820.00,1456.00
D,D5-1049BRA,REFLECTIONS,Suspension XL - 2x17W LED - 120V -3000K - Brass+Fresno Wood,2648.00,2112.00
D,D5-1049PWT,REFLECTIONS,Suspension XL - 2x17W LED - 120V -3000K -  Pewter+Fresno Wood,2648.00,2112.00
D,D5-1050BRA,REFLECTIONS,Suspension XXL - 2x17W LED - 120V -3000K - Brass+Fresno Wood,3060.00,2438.00
D,D5-1050PWT,REFLECTIONS,Suspension XXL - 2x17W LED - 120V -3000K - Pewter+Fresno Wood,3060.00,2438.00
D,D5-1051BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+White Alabaster 60D.X68H.,6004.00,4806.00
D,D5-1051PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Pewter+White Alabaster 60D.X68H.,6004.00,4806.00
D,D5-1052BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+Natural Oak 60D.X68H.,5220.00,4174.00
D,D5-1052PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Pewter+Natural Oak 60D.X68H.,5220.00,4174.00
D,D5-1053BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+Dark Oak 60D.X68H.,5220.00,4174.00
D,D5-1053PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K -  Pewter+Dark Oak 60D.X68H.,5220.00,4174.00
D,D5-1054BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+White Alabaster 80D.X86H.,9416.00,7526.00
D,D5-1054PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Pewter+White Alabaster 80D.X86H.,9416.00,7526.00
D,D5-1055BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+Natural Oak 80D.X86H.,8370.00,6684.00
D,D5-1055PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Pewter+Natural Oak 80D.X86H.,8370.00,6684.00
D,D5-1056BRA,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Brass+Dark Oak 80D.X86H.,8370.00,6684.00
D,D5-1056PWT,QUARZ,Suspension - 1x28.8W LED -700mA - 3000K - Pewter+Dark Oak 80D.X86H.,8370.00,6684.00
