Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D13-1000,CONFUSIONE,Pendant 75 - LED - 75cm - 10 x 1w two-pin K LED -12V - G4 Included -Power Supply 20W 12V - Anodized Aluminum,3174.00,2524.00
D,D13-1271,CONFUSIONE,Pendant 75 - LED - 75cm - 10 x 1w two-pin K LED -12V - G4 Included -Power Supply 20W 12V - Anodized Aluminum,3174.00,2524.00
D,D13-1001,CONFUSIONE,Pendant 100 - LED - 100cm - 15 x 1w two-pIn K LED -12V - G4 Included -Power Supply 30W 12V - Anodized Aluminum,4440.00,3526.00
D,D13-1272,CONFUSIONE,Pendant 100 - LED - 100cm - 25 x 1w two-pIn K LED -12V - G4 Included -Power Supply 30W 12V - Anodized Aluminum,4440.00,3526.00
D,D13-1145,CONFUSIONE,Pendant 50 Special - LED - 75cm - 10 x 1w two-pin K LED -12V - G4 Included -Power Supply 20W 12V - Anodized Aluminum,2148.00,1724.00
D,D13-1273,CONFUSIONE,Pendant 50 Special - LED - 75cm - 20 x 1w two-pin K LED -12V - G4 Included -Power Supply 20W 12V - Anodized Aluminum,2148.00,1724.00
D,D13-1002,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Total White - 7.5cm x 3.6cm,590.00,472.00
D,D13-1146,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Silver Leaf - 7.5cm x 3.6cm,590.00,472.00
D,D13-1147,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Gold Leaf - 7.5cm x 3.6cm,590.00,472.00
D,D13-1148,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Matte Black - 7.5cm x 3.6cm,590.00,472.00
D,D13-1274,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Copper Leaf - 7.5cm x 3.6cm,590.00,472.00
D,D13-1275,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Bronze Leaf - 7.5cm x 3.6cm,590.00,472.00
D,D13-1149,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Silver Leaf / White - 7.5cm x 3.6cm,614.00,492.00
D,D13-1150,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Gold Leaf /  White - 7.5cm x 3.6cm,614.00,492.00
D,D13-1151,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Silver Leaf / Matte Black - 7.5cm x 3.6cm,614.00,492.00
D,D13-1152,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Gold Leaf / Matte Black - 7.5cm x 3.6cm,614.00,492.00
D,D13-1276,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Copper Leaf /  White - 7.5cm x 3.6cm,614.00,492.00
D,D13-1277,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Copper Leaf / Matte Black - 7.5cm x 3.6cm,614.00,492.00
D,D13-1278,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Bronze Leaf /  White - 7.5cm x 3.6cm,614.00,492.00
D,D13-1279,HUE,Pendant 1 - 1 x 1.5W LED -Power Supply 6W 350mA - Bronze Leaf / Matte Black - 7.5cm x 3.6cm,614.00,492.00
D,D13-1003,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Total White - 50CM,3970.00,3190.00
D,D13-1153,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Silver Leaf - 50CM,3970.00,3190.00
D,D13-1154,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Gold Leaf - 50CM,3970.00,3190.00
D,D13-1155,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Matte Black - 50CM,3970.00,3190.00
D,D13-1280,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Copper Leaf - 50CM,3970.00,3190.00
D,D13-1281,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Bronze Leaf - 50CM,3970.00,3190.00
D,D13-1156,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Silver Leaf / White - 50CM,4160.00,3340.00
D,D13-1157,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Gold Leaf / White - 50CM,4160.00,3340.00
D,D13-1158,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Silver Leaf / Matte Black - 50CM,4160.00,3340.00
D,D13-1159,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Gold Leaf  / Matte Black - 50CM,4160.00,3340.00
D,D13-1282,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Copper Leaf / White - 50CM,4186.00,3364.00
D,D13-1283,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Copper Leaf / Matte Black - 50CM,4186.00,3364.00
D,D13-1284,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Bronze Leaf / White - 50CM,4186.00,3364.00
D,D13-1285,HUE,Pendant 10 - 10 x 1.5W LED -Power Supply 15W 350mA - Bronze Leaf / Matte Black - 50CM,4186.00,3364.00
D,D13-1004,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Total White - 70CM,7794.00,6270.00
D,D13-1160,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Silver Leaf - 70CM,7794.00,6270.00
D,D13-1161,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Gold Leaf - 70CM,7794.00,6270.00
D,D13-1162,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Matte Black - 70CM,7794.00,6270.00
D,D13-1286,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Copper Leaf - 70CM,7794.00,6270.00
D,D13-1287,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Bronze Leaf - 70CM,7794.00,6270.00
D,D13-1163,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Silver Leaf / White - 70CM,8166.00,6568.00
D,D13-1164,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Gold Leaf / White - 70CM,8166.00,6568.00
D,D13-1165,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Silver Leaf / Matte Black - 70CM,8166.00,6568.00
D,D13-1166,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Gold Leaf / Matte Black - 70CM,8166.00,6568.00
D,D13-1288,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Copper Leaf / White - 70CM,8166.00,6568.00
D,D13-1289,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Copper Leaf / Matte Black - 70CM,8166.00,6568.00
D,D13-1290,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Bronze Leaf / White - 70CM,8166.00,6568.00
D,D13-1291,HUE,Pendant 20 - 20 x 1.5W LED -2 Power Supplies 15W 350mA - Bronze Leaf / Matte Black - 70CM,8166.00,6568.00
D,D13-1005,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W 350mA - Total White - 90cm,11560.00,9292.00
D,D13-1167,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Silver Leaf - 90cm,11444.00,9204.00
D,D13-1168,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Gold Leaf - 90cm,11444.00,9204.00
D,D13-1169,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Matte Black- 90cm,11444.00,9204.00
D,D13-1292,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Copper Leaf - 90cm,11444.00,9204.00
D,D13-1293,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Bronze Leaf - 90cm,11444.00,9204.00
D,D13-1170,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Silver Leaf / White - 90cm,11990.00,9646.00
D,D13-1171,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Silver Leaf / White - 90cm,11990.00,9646.00
D,D13-1172,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Silver Leaf / Matte Black - 90cm,11990.00,9646.00
D,D13-1173,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Gold Leaf / Matte Black - 90cm,11990.00,9646.00
D,D13-1294,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Copper Leaf / White - 90cm,11990.00,9646.00
D,D13-1552,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Copper Leaf / Matte Black - 90cm,11990.00,9646.00
D,D13-1295,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Bronze Leaf / White - 90cm,11990.00,9646.00
D,D13-1296,HUE,Pendant 30 - 30 x 1.5W LED -3 Power Supplies 15W350mA - Bronze Leaf / Matte Black - 90cm,11990.00,9646.00
D,D13-1006,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Chrome,796.00,640.00
D,D13-1007,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - ShInny Black Nickel,796.00,640.00
D,D13-1008,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Matte Black Nickel,796.00,640.00
D,D13-1297,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - ShInny Gold,796.00,640.00
D,D13-1009,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Silver Leaf,870.00,700.00
D,D13-1010,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Gold Leaf,870.00,700.00
D,D13-1011,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Total White,870.00,700.00
D,D13-1174,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Matte Black,870.00,700.00
D,D13-1298,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Copper Leaf,870.00,700.00
D,D13-1299,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Bronze Leaf,870.00,700.00
D,D13-1175,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Silver Leaf /  White,898.00,724.00
D,D13-1176,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Gold Leaf / White,898.00,724.00
D,D13-1177,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Silver Leaf / Matte Black,898.00,724.00
D,D13-1178,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Gold Leaf / Matte Black,898.00,724.00
D,D13-1300,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Copper Leaf / White,898.00,724.00
D,D13-1301,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Copper Leaf / Matte Black,898.00,724.00
D,D13-1302,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Bronze Leaf / White,898.00,724.00
D,D13-1303,HUE,Pendant 37 - RefLED 8W 120V - 12x54cm - Bronze Leaf / Matte Black,898.00,724.00
D,D13-1012,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Chrome,1490.00,1200.00
D,D13-1013,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - ShInny Black Nickel,1490.00,1200.00
D,D13-1014,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Matte Black Nickel,1490.00,1200.00
D,D13-1304,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - ShInny Gold,1490.00,1200.00
D,D13-1015,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Silver Leaf,1550.00,1246.00
D,D13-1016,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Gold Leaf,1550.00,1246.00
D,D13-1017,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Total White,1550.00,1246.00
D,D13-1179,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Matte Black,1550.00,1246.00
D,D13-1305,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Copper Leaf,1550.00,1246.00
D,D13-1306,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Bronze Leaf,1550.00,1246.00
D,D13-1180,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Silver Leaf /  White,1688.00,1358.00
D,D13-1181,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Gold Leaf / White,1688.00,1358.00
D,D13-1182,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Silver Leaf / Matte Black,1688.00,1358.00
D,D13-1183,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Gold Leaf / Matte Black,1688.00,1358.00
D,D13-1307,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Copper Leaf / White,1688.00,1358.00
D,D13-1308,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Copper Leaf / Matte Black,1688.00,1358.00
D,D13-1309,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Bronze Leaf / White,1688.00,1358.00
D,D13-1310,HUE,Pendant 54 - 2 RefLED 8W 120V - 12x54cm - Bronze Leaf / Matte Black,1688.00,1358.00
D,D13-1018,HUE,Pendant 54 - 4 RefLED 8W 120V -  12x54cm - Chrome,2584.00,2082.00
D,D13-1019,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - ShInny Black Nickel,2584.00,2082.00
D,D13-1020,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Matte Black Nickel,2584.00,2082.00
D,D13-1311,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - ShInny Gold,2584.00,2082.00
D,D13-1021,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Silver Leaf,2658.00,2140.00
D,D13-1022,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Gold Leaf,2658.00,2140.00
D,D13-1023,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Total White,2658.00,2140.00
D,D13-1184,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Matte Black,2638.00,2124.00
D,D13-1312,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Copper Leaf,2638.00,2124.00
D,D13-1313,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Bronze Leaf,2638.00,2124.00
D,D13-1185,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Silver Leaf /  White,2876.00,2316.00
D,D13-1186,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Gold Leaf / White,2876.00,2316.00
D,D13-1187,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Silver Leaf / Matte Black,2876.00,2316.00
D,D13-1188,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Gold Leaf / Matte Black,2876.00,2316.00
D,D13-1314,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Copper Leaf / White,2876.00,2316.00
D,D13-1315,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Copper Leaf / Matte Black,2876.00,2316.00
D,D13-1316,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Bronze Leaf / White,2876.00,2316.00
D,D13-1317,HUE,Pendant 54 - 4 RefLED 8W 120V - 12x54cm - Bronzer Leaf / Matte Black,2876.00,2316.00
D,D13-1024,HUE,Pendant 54 - 6 RefLED 8W 120V - 12x54cm - Chrome,3836.00,3090.00
D,D13-1025,HUE,Pendant 54 - 6 RefLED 8W 120V - 12x54cm - ShInny Black Nickel,3836.00,3090.00
