Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D10-1027,CITADEL,Transformer and Canopy - 105 VA - d.14cm - Brass,790.00,634.00
D,D10-1028,CITADEL,Transformer and Canopy - 105VA - d.14cm - Nickel,790.00,634.00
D,D10-1029,CITADEL,Transformer and Canopy - 150VA - d.20.5cm - Brass,1090.00,876.00
D,D10-1030,CITADEL,Transformer and Canopy - 150VA - d.20.5cm - Nickel,1090.00,876.00
D,D10-1031,CITADEL,Transformer and Canopy - 300VA - d.20.5cm - Brass,1154.00,930.00
D,D10-1032,CITADEL,Transformer and Canopy - 300VA - d20.5cm - Nickel,1154.00,930.00
D,D10-1038,COMPASS,Pendant - 15 LED - Cast Aluminum Polished - 15xPowerLED 1w White - Lens 10/30/50 Degree,3162.00,2544.00
D,D10-1274,COMPASS,Pendant - 16 LED - Cast Aluminum Polished - 16xPowerLED 1w White - Lens 10/30/50 Degree,3294.00,2650.00
D,D10-1285,CITADEL COMPOSITION,Ring d.78cm - Copper - 44xLED 0.24w 12v,2590.00,2080.00
D,D10-1286,CITADEL COMPOSITION,Ring d.78cm - Nickel - 44xLED 0.24w 12v,2590.00,2080.00
D,D10-1287,CITADEL COMPOSITION,Ring d.78cm - Brass - 44xLED 0.24w 12v,2590.00,2080.00
D,D10-1288,CITADEL COMPOSITION,Ring d.78cm - Copper - Double Lighting - 88xLED 0.24w 12v,4200.00,3376.00
D,D10-1289,CITADEL COMPOSITION,Ring d.78cm - Nickel - Double Lighting - 88xLED 0.24w 12v,4200.00,3376.00
D,D10-1290,CITADEL COMPOSITION,Ring d.78cm - Brass - Double Lighting - 88xLED 0.24w 12v,4200.00,3376.00
D,D10-1291,CITADEL COMPOSITION,Ring d.89cm - Copper - 52xLED 0.24w 12v,2892.00,2322.00
D,D10-1292,CITADEL COMPOSITION,Ring d.89cm - Nickel - 52xLED 0.24w 12v,2892.00,2322.00
D,D10-1293,CITADEL COMPOSITION,Ring d.89cm - Brass - 52xLED 0.24w 12v,2892.00,2322.00
D,D10-1294,CITADEL COMPOSITION,Ring d.89cm - Copper - Double Lighting - 104xLED 0.24w 12v,4774.00,3840.00
D,D10-1295,CITADEL COMPOSITION,Ring d.89cm - Nickel - Double Lighting - 104xLED 0.24w 12v,4780.00,3840.00
D,D10-1296,CITADEL COMPOSITION,Ring d.89cm - Brass - Double Lighting - 104xLED 0.24w 12v,4774.00,3840.00
D,D10-1297,CITADEL COMPOSITION,Ring d.100cm - Copper - 60xLED 0.24w 12v,3180.00,2554.00
D,D10-1298,CITADEL COMPOSITION,Ring d.100cm - Nickel - 60xLED 0.24w 12v,3180.00,2554.00
D,D10-1299,CITADEL COMPOSITION,Ring d.100cm - Brass - 60xLED 0.24w 12v,3180.00,2554.00
D,D10-1300,CITADEL COMPOSITION,Ring d.100cm - Copper - Double Lighting - 120xE10 12w 12v,5310.00,4272.00
D,D10-1301,CITADEL COMPOSITION,Ring d.100cm - Nickel - Double Lighting - 120xE10 12w 12v,5310.00,4272.00
D,D10-1302,CITADEL COMPOSITION,Ring d.100cm - Brass - Double Lighting - 120xE10 12w 12v,5310.00,4272.00
D,D10-1303,CITADEL GRANDE,Copper - 156xLED 0.24w 12v,9490.00,7636.00
D,D10-1304,CITADEL GRANDE,Nickel - 156xLED 0.24w 12v,9490.00,7636.00
D,D10-1305,CITADEL GRANDE,Brass - 156xLED 0.24w 12v,9490.00,7636.00
D,D10-1307,COBRA SYSTEM,Section A - Nickel - 30xLED 0.24w 12v,5670.00,4550.00
D,D10-1309,COBRA SYSTEM,Section B - Nickel - 40xLED 0.24w 12v,6970.00,5584.00
D,D10-1311,COBRA SYSTEM,Section C - Nickel - 40xLED 0.24w 12v,6970.00,5584.00
D,D10-1313,COBRA SYSTEM,Section D - Nickel - 40xLED 0.24w 12v,6970.00,5584.00
D,D10-1314,COBRA SYSTEM,Section E - Nickel - 40xE10 12v/2w Krypton,6420.00,5140.00
D,D10-1315,COBRA SYSTEM,Section E - Nickel - 40xLED 0.24w 12v,6970.00,5584.00
D,D10-1316,COMPASS,Pendant - Medium - Cast Aluminum Polished - 1xLED 10w 12v,1020.00,820.00
D,D10-1318,COMPASS,Pendant - 3 x Medium on 1 Canopy - Cast Aluminum Polished - 3xLED 10w 12v,2834.00,2278.00
D,D10-1321,FIELTEBEK,Pendant - L.120cm - Brass - 48xLED 0.24w 12v,7810.00,6244.00
D,D10-1322,FIELTEBEK,Pendant - L.120cm - Nickel - 48xLED 0.24w 12v,7810.00,6244.00
D,D10-1323,FIELTEBEK,Pendant - L.150cm - Brass - 60xLED 0.24w 12v,9930.00,7938.00
D,D10-1324,FIELTEBEK,Pendant - L.150cm - Nickel - 60xLED 0.24w 12v,9930.00,7938.00
D,D10-1325,FIELTEBEK,Pendant - L.200cm - Brass - 80xLED 0.24w 12v,13570.00,10826.00
D,D10-1326,FIELTEBEK,Pendant - L.200cm - Nickel - 80xLED 0.24w 12v,13570.00,10826.00
